"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E,mV",N,"t,ms"
0.007885600400000001,6.9081020668,0.043089302,0.0001390606,0,1,2
-0.0013855383999999999,-0.015293547000000001,-0.000958415,0.0437676238,0.05,1,16984
-0.0014858324,-0.0187106612,-0.001504208,0.0875770542,0.1,1,33751
-0.0018950029999999997,-0.0199856358,-0.002470986,0.1310772308,0.15000000000000002,1,50671
-0.0018268839999999998,652.5925192000001,0.043089302,0.0001232866,0,2,73004
-0.0015898268,656.3927578,-0.000958415,0.043761575000000004,0.05,2,89956
-0.0013138786,656.4357276,-0.001504208,0.0875585524,0.1,2,106749
-0.0016232497999999998,656.4046936000001,-0.002470986,0.0791175432,0.15000000000000002,2,123536
