"B,mTl","E,mV","I_M,mA","t,ms"
11,1,-0.017836748,8570
10,1,1.621286120,26352
5,1,9.853874490,90496
23,1,39.747328600,107422
39,1,55.409421800,126676
58,1,72.753053400,141638
74,1,88.483191700,155690
90,1,104.349270000,169052
105,1,119.220950000,177672
117,1,135.923029000,189156
