"B,mTl","E,mV","I_M,mA","t,ms"
21.0,1,0.174247932,27006
139.6,1,128.018699000,95797
295,1,263.635846000,114574
455.8,1,421.574032000,137149
599.2,1,559.587283000,155889
726.0,1,699.245677000,173781
831,1,830.353497000,190941
922.6,1,972.986264000,208318
986.3,1,1100.374630000,225119
1038.9,1,1238.256740000,246076
1082.1,1,1396.679310000,265296
1115.0,1,1531.131070000,295098
1133.,1,1577.961040000,310643
